Breed Name,Picture,URL,Adapts Well To Apartment Living,Good For Novice Owner,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid Friendly,Dog Friendly,Stranger Friendly,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Weight Gain Potential,Size,Easy To Train,Intelligence,Mouthiness Potential,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,High Energy Level,Intensity,Playfulness,Adaptability,Friendliness,Health And Grooming,Trainability,Exercise Needs
Afador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Screenshot-2023-07-01-at-10.23.34-PM-e1688264735488.png?w=1024,https://dogtime.com/dog-breeds/afador,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,3,2.3333,2.5000,3.3333,3.6667,3.6667
Affenhuahua,https://dogtime.com/wp-content/uploads/sites/12/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/affenhuahua,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3.0000,2.7500,2.8333,3.0000,3.3333
Affenpinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1476309790-e1692208097483.jpg?w=1024,https://dogtime.com/dog-breeds/affenpinscher,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,4,3.1667,3.2500,2.1667,2.8333,3.6667
Afghan Hound,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1303725904-e1696860728615.jpg?w=1024,https://dogtime.com/dog-breeds/afghan-hound,5,3,5,2,5,5,5,5,4,2,4,1,1,3,1,4,1,4,3,5,2,5,5,2,4,4.1667,4.0000,2.3333,3.3333,3.6667
Airedale Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-984151818-e1692537275682.jpg?w=1024,https://dogtime.com/dog-breeds/airedale-terrier,1,2,3,2,3,3,4,4,4,3,2,1,2,3,4,3,4,5,5,5,4,4,5,3,5,2.3333,3.7500,2.5000,4.5000,4.3333
Akbash,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-875253932-e1691932168310.jpg?w=1024,https://dogtime.com/dog-breeds/akbash,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,3,2.6667,3.5000,3.5000,2.5000,2.3333
Akita,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1262676579-1-e1706034743817.jpg,https://dogtime.com/dog-breeds/akita,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,5,2.8333,2.2500,3.8333,3.5000,4.0000
Alaskan Klee Kai,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1480829226-e1694013721239.jpg?w=1024,https://dogtime.com/dog-breeds/alaskan-klee-kai,3,2,4,2,5,2,4,3,2,2,4,2,4,4,2,2,4,4,2,5,3,4,4,2,4,3.0000,2.7500,3.0000,3.6667,3.3333
Alaskan Malamute,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1435474615-1-e1691930474231.jpg?w=1024,https://dogtime.com/dog-breeds/alaskan-malamute,1,1,4,1,5,2,4,3,2,5,5,1,1,4,3,4,4,4,3,4,5,5,5,5,5,2.3333,3.5000,3.0000,4.1667,5.0000
American Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1006968824-e1694633377768.jpg,https://dogtime.com/dog-breeds/american-bulldog,1,1,4,1,2,2,5,4,2,2,1,4,4,3,2,4,4,3,2,4,2,3,4,4,4,1.8333,3.2500,3.0000,3.0000,4.0000
American English Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1384868992-e1706539573466.jpg?w=1024,https://dogtime.com/dog-breeds/american-english-coonhound,1,2,5,2,4,4,5,5,4,5,3,1,5,4,3,3,5,4,3,5,5,5,5,5,5,3.0000,4.7500,3.1667,4.5000,5.0000
American Eskimo Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23134_american-eskimo-dog.jpg,https://dogtime.com/dog-breeds/american-eskimo-dog,5,4,4,2,5,3,5,5,5,4,5,1,3,5,4,2,5,4,3,3,4,3,5,3,5,3.8333,4.7500,3.3333,3.6667,4.3333
American Foxhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1311847396-e1691373083166.jpg?w=1024,https://dogtime.com/dog-breeds/american-foxhound,1,2,2,1,4,4,4,5,5,4,3,1,5,5,5,3,2,3,3,4,5,5,5,4,5,2.3333,4.5000,3.6667,3.6667,4.6667
American Leopard Hound,https://dogtime.com/wp-content/uploads/sites/12/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/american-leopard-hound,2,4,3,3,4,4,5,4,4,3,2,2,4,4,2,4,4,4,3,4,4,4,4,3,4,3.3333,4.0000,3.0000,3.8333,3.6667
American Pit Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153000205-e1691974077142.jpg?w=1024,https://dogtime.com/dog-breeds/american-pit-bull-terrier,3,2,4,1,2,3,5,5,1,5,4,1,5,4,3,3,4,4,5,3,3,4,4,5,5,2.5000,4.0000,3.3333,3.8333,4.6667
American Pugabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/american-pugabull,3,3,4,1,2,3,5,4,3,3,3,3,4,2,3,3,3,3,2,4,4,2,4,4,5,2.6667,3.7500,3.0000,3.0000,4.3333
American Staffordshire Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1300301448-e1695306343981.jpg?w=1024,https://dogtime.com/dog-breeds/american-staffordshire-terrier,2,2,3,2,2,3,4,4,2,4,2,3,4,3,2,3,4,4,5,3,4,3,3,5,4,2.3333,3.5000,2.8333,3.8333,4.0000
American Water Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22954_american-water-spaniel.jpg,https://dogtime.com/dog-breeds/american-water-spaniel,2,2,5,1,2,4,5,5,2,3,3,1,3,3,3,3,4,3,5,2,3,5,5,2,5,2.6667,3.7500,2.6667,3.6667,4.0000
Anatolian Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1477482048-e1694029026354.jpg?w=1024,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,1,2,4,3,5,3,3,2,2,1,2,3,4,3,3,5,4,4,2,2,2,4,3,3,3,3.0000,2.0000,3.3333,3.0000,3.0000
Appenzeller Sennenhunde,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1478460895-1-e1695405829147.jpg?w=1024,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,1,3,3,1,5,4,5,5,3,2,3,1,5,4,3,3,4,4,5,3,5,3,4,4,4,2.8333,3.7500,3.1667,4.0000,4.0000
Auggie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/auggie,2,3,4,3,4,3,5,5,5,4,4,1,2,3,4,3,5,5,3,3,4,3,5,4,5,3.1667,4.7500,2.8333,3.8333,4.6667
Aussiedoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-941172138-e1691704977623.jpg?w=1024,https://dogtime.com/dog-breeds/aussiedoodle,2,3,3,2,3,3,5,4,4,4,3,4,3,4,4,3,5,5,3,3,2,3,5,4,5,2.6667,4.2500,3.5000,3.5000,4.6667
Aussiepom,https://dogtime.com/wp-content/uploads/sites/12/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/aussiepom,3,2,3,2,3,3,4,3,4,4,3,2,2,4,4,3,4,4,4,2,3,2,5,3,5,2.6667,3.7500,3.0000,3.1667,4.3333
Australian Cattle Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1309830116-e1692992685110.jpg?w=1024,https://dogtime.com/dog-breeds/australian-cattle-dog,2,1,4,3,4,4,5,3,4,2,3,1,4,5,4,3,5,5,5,4,2,4,5,5,5,3.0000,3.5000,3.3333,4.1667,5.0000
Australian Kelpie,https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1356399383-e1688346168527.jpg?w=1024,https://dogtime.com/dog-breeds/australian-kelpie,2,2,4,2,3,5,4,2,3,2,3,1,4,3,2,3,5,5,5,4,4,4,5,3,4,3.0000,2.7500,2.6667,4.5000,4.0000
Australian Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-retriever,1,4,3,2,4,4,4,4,3,3,3,2,3,4,4,4,4,4,2,3,2,4,5,3,4,3.0000,3.5000,3.3333,3.1667,4.0000
Australian Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1310156914-e1691160249641.jpg?w=1024,https://dogtime.com/dog-breeds/australian-shepherd,1,2,5,2,4,4,5,4,5,3,3,1,1,2,4,3,5,5,4,4,4,5,5,4,5,3.0000,4.2500,2.3333,4.5000,4.6667
Australian Shepherd Husky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-husky,1,2,4,1,5,4,5,3,2,2,4,2,3,3,4,4,4,5,3,4,5,5,5,5,5,2.8333,3.0000,3.3333,4.3333,5.0000
Australian Shepherd Lab Mix,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,2,2,5,4,5,4,4,4,4,4,4,2,4,4,3,4,5,5,4,3,3,5,5,5,5,3.6667,4.0000,3.5000,4.1667,5.0000
Australian Shepherd Pit Bull Mix,https://dogtime.com/wp-content/uploads/sites/12/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,2,3,3,2,3,3,4,4,3,3,4,2,3,4,5,4,4,4,3,4,2,3,4,3,4,2.6667,3.5000,3.6667,3.3333,3.6667
Australian Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226717580-e1696002487688.jpg?w=1024,https://dogtime.com/dog-breeds/australian-terrier,5,3,2,2,3,4,4,3,2,3,1,1,5,5,3,1,3,4,1,5,5,4,5,5,5,3.1667,3.0000,2.6667,3.6667,5.0000
Azawakh,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-984961036-e1691178428955.jpg?w=1024,https://dogtime.com/dog-breeds/azawakh,5,2,3,3,1,5,4,2,3,2,3,1,5,3,3,3,3,3,3,4,1,2,3,2,3,3.1667,2.7500,3.0000,2.6667,2.6667
Barbet,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1182528738-e1695731334393.jpg?w=1024,https://dogtime.com/dog-breeds/barbet,3,2,3,1,4,4,5,4,4,3,2,1,1,4,3,3,4,4,2,3,3,3,5,3,4,2.8333,4.0000,2.3333,3.1667,4.0000
