Intelligence,Level,Frequency,,Adaptability,Level,Frequency,,Friendliness,Level,Frequency
5,1,1,,2,1,0,,3,1,2
3,2,7,,3,2,76,,3,2,12
4,3,51,,3,3,498,,3,3,148
4,4,194,,4,4,122,,4,4,342
5,5,95,,2,5,0,,4,5,192
4,,,,3,,,,4,,
3,,,,3,,,,2,,
4,,,,3,,,,3,,
4,,,,2,,,,4,,
3,,,,2,,,,3,,
4,,,,3,,,,5,,
4,,,,4,,,,5,,
3,,,,2,,,,5,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
3,,,,3,,,,4,,
4,,,,2,,,,4,,
3,,,,3,,,,4,,
4,,,,3,,,,2,,
4,,,,3,,,,4,,
5,,,,3,,,,5,,
5,,,,3,,,,4,,
4,,,,3,,,,4,,
5,,,,3,,,,4,,
5,,,,3,,,,3,,
4,,,,3,,,,4,,
5,,,,3,,,,4,,
5,,,,3,,,,3,,
5,,,,4,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,3,,
3,,,,3,,,,3,,
4,,,,3,,,,4,,
4,,,,4,,,,5,,
3,,,,3,,,,3,,
5,,,,3,,,,4,,
4,,,,3,,,,5,,
5,,,,3,,,,4,,
4,,,,2,,,,4,,
3,,,,3,,,,4,,
4,,,,3,,,,5,,
4,,,,3,,,,5,,
4,,,,3,,,,5,,
5,,,,4,,,,5,,
5,,,,3,,,,4,,
5,,,,4,,,,5,,
5,,,,3,,,,3,,
4,,,,4,,,,4,,
5,,,,3,,,,4,,
4,,,,2,,,,5,,
4,,,,4,,,,5,,
4,,,,3,,,,4,,
5,,,,3,,,,5,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,5,,
5,,,,3,,,,3,,
4,,,,3,,,,4,,
4,,,,4,,,,4,,
4,,,,2,,,,3,,
2,,,,3,,,,5,,
4,,,,3,,,,5,,
5,,,,3,,,,4,,
5,,,,3,,,,4,,
5,,,,3,,,,4,,
5,,,,3,,,,4,,
5,,,,4,,,,4,,
4,,,,4,,,,4,,
3,,,,3,,,,3,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,4,,,,5,,
4,,,,3,,,,4,,
5,,,,2,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,2,,,,3,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,2,,,,4,,
4,,,,3,,,,4,,
5,,,,3,,,,5,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,3,,
2,,,,2,,,,2,,
4,,,,3,,,,5,,
4,,,,2,,,,4,,
4,,,,2,,,,3,,
2,,,,3,,,,4,,
3,,,,3,,,,4,,
4,,,,2,,,,4,,
5,,,,4,,,,5,,
4,,,,4,,,,3,,
5,,,,2,,,,3,,
5,,,,4,,,,4,,
3,,,,2,,,,3,,
3,,,,2,,,,3,,
4,,,,3,,,,3,,
4,,,,3,,,,4,,
4,,,,4,,,,5,,
4,,,,3,,,,4,,
4,,,,4,,,,5,,
4,,,,3,,,,5,,
3,,,,4,,,,3,,
4,,,,3,,,,3,,
4,,,,3,,,,3,,
4,,,,3,,,,3,,
4,,,,3,,,,3,,
5,,,,4,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
3,,,,3,,,,4,,
2,,,,3,,,,2,,
5,,,,3,,,,5,,
3,,,,3,,,,3,,
3,,,,3,,,,3,,
4,,,,3,,,,3,,
3,,,,3,,,,3,,
1,,,,3,,,,1,,
3,,,,3,,,,3,,
3,,,,3,,,,4,,
4,,,,3,,,,4,,
3,,,,3,,,,4,,
3,,,,4,,,,4,,
4,,,,3,,,,4,,
4,,,,4,,,,5,,
4,,,,4,,,,4,,
4,,,,4,,,,5,,
4,,,,3,,,,3,,
5,,,,3,,,,4,,
5,,,,3,,,,4,,
4,,,,4,,,,5,,
5,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,3,,
4,,,,3,,,,4,,
3,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,2,,,,3,,
5,,,,3,,,,3,,
4,,,,3,,,,3,,
3,,,,2,,,,3,,
3,,,,3,,,,3,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
5,,,,3,,,,3,,
4,,,,3,,,,5,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
4,,,,3,,,,4,,
5,,,,4,,,,5,,
3,,,,3,,,,4,,
5,,,,3,,,,5,,
5,,,,3,,,,5,,
3,,,,3,,,,4,,
4,,,,3,,,,4,,
5,,,,3,,,,4,,
4,,,,3,,,,4,,
5,,,,3,,,,5,,
5,,,,4,,,,5,,
4,,,,3,,,,5,,
5,,,,3,,,,5,,
5,,,,3,,,,4,,
